AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;RBD;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION
2014;CAS-10968-V7M7S4;2;1;20140129;1;1;20140428;0;1;GESTIÓN TÉCNICO-ADMINISTRATIVA;PERSONAL DEL ESTABLECIMIENTO EDUCATIVO;INCUMPLIMIENTO DE LOS REQUISITOS DE IDONEIDAD PROFESIONAL Y/O TÉCNICA DEL PERSONAL DEL ESTABLECIMIENTO;4273785;1;2;APODERADO/A;4273785;26399;PUMAHUE CHICUREO;13;133;13301;COLINA;4;4;5;13
2014;CAS-10969-T2Z3J9;2;1;20140129;1;1;20140314;7;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR OTRAS CAUSALES;6697179;1;2;PADRE/MADRE/TUTOR;6697179;16696;ESCUELA HOSPITAL LINARES;7;74;7401;LINARES;3;3;2;7
2014;CAS-10970-Z3H5Z8;1;1;20140129;1;1;20140129;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;20211448;0;2;PADRE/MADRE/TUTOR;7650936;133;COLEGIO ADVENTISTA DE IQUIQUE;1;11;1101;IQUIQUE;3;3;5;1
2014;CAS-10971-F0B6Y7;1;1;20140129;1;1;20140129;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;24459359;0;2;PADRE/MADRE/TUTOR;21148700;12604;ESCUELA BASICA CORONA SCHOOL;1;11;1101;IQUIQUE;3;3;5;1
2014;CAS-10972-D2P2Z1;1;1;20140129;1;1;20140619;5;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;19791155;0;2;PADRE/MADRE/TUTOR;13342949;1634;SEMINARIO SAN RAFAEL;5;51;5101;VALPARAÍSO;4;4;2;5
2014;CAS-10973-S8D2Y9;1;1;20140129;1;1;20140129;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;22881761;0;2;PADRE/MADRE/TUTOR;8313034;40320;COLEGIO ACADEMIA TARAPACA ORELLA;1;11;1101;IQUIQUE;3;3;5;1
2014;CAS-10974-Y6Q5F5;1;1;20140129;1;1;20140129;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;9419240;0;2;PADRE/MADRE/TUTOR;23651177;133;COLEGIO ADVENTISTA DE IQUIQUE;1;11;1101;IQUIQUE;3;3;2;1
2014;CAS-10975-B0C7Z7;1;1;20140129;1;1;20150128;8;3;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;3102227;1;1;APODERADO/A;3102227;5174;ESCUELA EL ALAMO;8;82;8204;CONTULMO;2;1;2;8
2014;CAS-10976-N9T3G3;1;1;20140129;1;1;20140129;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;EXPULSIÓN DE PÁRVULO Y/O ESTUDIANTE;23352832;0;2;PADRE/MADRE/TUTOR;15709462;12686;LICEO ACADEMIA NACIONAL;1;11;1107;ALTO HOSPICIO;3;3;2;1
2014;CAS-10977-S9S6V1;1;1;20140129;1;1;20140129;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;2154294;0;2;PADRE/MADRE/TUTOR;19607315;133;COLEGIO ADVENTISTA DE IQUIQUE;1;11;1101;IQUIQUE;3;3;5;1
