AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;FIS_ID;FIS_ID_SEGUIMIENTO;PA_ID;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;RBD;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION;DEN_CIBERBULLYING
2016;CAS-50593-P5L2Z7;1;1;20160104;1;1;20160112;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO); ; ; ;15380328;0;2;APODERADO/A;17108272;2;3984;ESCUELA CANTA RANA;8;84;8402;BULNES;2;1;2;8;0
2016;CAS-50596-B4C4Q6;1;1;20160104;1;1;20160505;5;2;GESTIÓN DE RECURSOS FINANCIEROS;COBROS EN ESTABLECIMIENTOS SUBVENCIONADOS O QUE RECIBEN APORTES DEL ESTADO;COBROS ADICIONALES Y/O EXIGENCIAS EN ESPECIES (MATERIALES DE ASEO DE USO GENERAL, DE OFICINA, DISFRAZ, VESTUARIO BAILE, RIFAS, OTRO); ; ; ;2478251;0;2;PADRE/MADRE/TUTOR;23615069;2;14305;CENTRO DE TRATAMIENTO AUTISTA;5;51;5109;VIÑA DEL MAR;3;3;4;5; 
2016;CAS-50598-N5L1Y1;2;1;20160104;1;1;20160105;13;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR DEUDA; ; ; ;9976406;0;2;APODERADO/A;14038389;1;9897;LICEO POLITECNICO PARTICULAR HANNOVER;13;131;13119;MAIPÚ;3;3;7;13; 
2016;CAS-50601-B2H1V0;1;1;20160104;1;1;20160216;5;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;EXPULSIÓN DE PÁRVULO Y/O ESTUDIANTE; ; ; ;2478251;0;2;PADRE/MADRE/TUTOR;23615069;2;14305;CENTRO DE TRATAMIENTO AUTISTA;5;51;5109;VIÑA DEL MAR;3;3;4;5; 
2016;CAS-50602-Y3D9Y2;1;1;20160104;1;1;20160215;5;1;GESTIÓN TÉCNICO-ADMINISTRATIVA;REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES;IRREGULARIDADES EN EL REGISTRO DE ASISTENCIA DE PÁRVULOS Y/O ESTUDIANTES; ; ; ;2478251;0;2;PADRE/MADRE/TUTOR;23615069;2;14305;CENTRO DE TRATAMIENTO AUTISTA;5;51;5109;VIÑA DEL MAR;3;3;4;5; 
2016;CAS-50604-R7K7H3;2;1;20160104;1;1;20160104;0;1;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO; ; ; ;6533437;1;1;DOCENTE;6533437;2;10430;ESCUELA BASICA SAN SEBASTIAN DE BATUCO;13;133;13302;LAMPA;3;3;2;13; 
2016;CAS-50607-Y8H6H0;1;1;20160104;1;1;20160412;5;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;14621613;0;2;PADRE/MADRE/TUTOR;17062804;2;1769;COLEGIO RAYEN CAVEN;5;51;5103;CONCÓN;3;3;2;5; 
2016;CAS-50608-G3Z4W5;1;1;20160104;1;1;20160210;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO); ; ; ;16579628;0;2;APODERADO/A;6499427;1;5082;LICEO SAN FRANCISCO DE ASIS;8;82;8202;ARAUCO;3;3;2;8;0
2016;CAS-50609-Q4S0Z0;1;1;20160104;1;1;20160229;5;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;CONDICIONALIDAD DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;5686006;0;2;PADRE/MADRE/TUTOR;11715212;2;1751;ESCUELA PARTICULAR HUGO ERRAZURIZ;5;51;5109;VIÑA DEL MAR;3;3;2;5; 
2016;CAS-50610-H4G3M3;2;1;20160104;1;1;20160104;0;1;GESTIÓN TÉCNICO-ADMINISTRATIVA;PERSONAL DEL ESTABLECIMIENTO EDUCATIVO;FALTA O AUSENCIA DEL PERSONAL DEL ESTABLECIMIENTO; ; ; ;6533437;1;1;DOCENTE;6533437;2;10430;ESCUELA BASICA SAN SEBASTIAN DE BATUCO;13;133;13302;LAMPA;3;3;2;13; 
2016;CAS-50612-W6M9K1;1;1;20160104;1;1;20160121;15;2;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;161500015; ; ;3928771;0;2;APODERADO/A;14995173;1;60;COLEGIO ALEMAN DE ARICA;15;151;15101;ARICA;3;3;2;15; 
2016;CAS-50614-N3P0K1;2;1;20160104;1;1;20160106;0;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;16079167;0;2;ESTUDIANTE;160509;1;26260;ESCUELA PART. BOSTON COLLEGE PUDAHUEL;13;131;13124;PUDAHUEL;3;3;5;13; 
2016;CAS-50615-D4T0Y1;2;1;20160104;1;1;20160104;0;1;GESTIÓN TÉCNICO-PEDAGÓGICA;JORNADA EDUCATIVA (HORAS DE CLASES O ACTIVIDADES Y HORAS NO LECTIVAS);INCUMPLIMIENTO DE HORAS DE CLASES O ACTIVIDADES; ; ; ;6533437;1;1;DOCENTE;6533437;2;10430;ESCUELA BASICA SAN SEBASTIAN DE BATUCO;13;133;13302;LAMPA;3;3;2;13; 
2016;CAS-50618-F8Y7V2;1;1;20160104;1;1;20160104;13;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR DEUDA; ; ; ;6506646;0;2;APODERADO/A;21093934;2;25027;COLEGIO POLIV. NUEVA NAZARET;13;131;13112;LA PINTANA;3;3;7;13; 
