AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;FIS_ID;FIS_ID_SEGUIMIENTO;PA_ID;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;RBD;RSIE;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION;DEN_CIBERBULLYING
2019;CAS-105113-G9K4L7;2;1;20190101;1;1;20190430;5;3;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;190500045; ;190500045;15052323;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);13782545;1;14284; ;LICEO RENE DESCARTES;5;51;5109;VIÑA DEL MAR;3;3;5;5; 
2019;CAS-105116-P0N5Q6;2;1;20190102;1;1;20190408;13;2;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;191301130; ; ;17172466;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);22087991;2;11843; ;MASTER COLLEGE;13;134;13401;SAN BERNARDO;3;3;2;13; 
2019;CAS-105117-F7P1T7;1;1;20190102;1;1;20190102;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;4705764;0;2;SUPERINTENDENCIA DE EDUCACIÓN;4045589;1;4750;101861;ESCUELA SANTA CLARA;8;81;8110;TALCAHUANO;2;1;2;8; 
2019;CAS-105118-T8V6H8;1;1;20190102;1;1;20190822;13;3;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;191301764; ;191301764;7615165;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);24303434;2;10831;103786;COLEGIO PARTICULAR MELIPILLA;13;135;13501;MELIPILLA;3;3;5;13; 
2019;CAS-105121-V3P8V1;1;1;20190102;1;1;20190516;13;2;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;191301726; ; ;5728002;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);9061508;1;9673;103206;ESCUELA PARTICULAR ARTURO MATTE LARRAIN;13;131;13131;SAN RAMÓN;3;3;2;13; 
2019;CAS-105122-R7F8W8;1;1;20190102;1;1;20190828;5;3;INFRAESTRUCTURA;LOCAL O INFRAESTRUCTURA DEL ESTABLECIMIENTO EDUCACIONAL;CAMBIO DE UBICACIÓN O CIERRE DEL ESTABLECIMIENTO;190500026; ;190500026;17242024;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);17477359;2;12167;104039;COLEGIO BLANCO ENCALADA;5;56;5601;SAN ANTONIO;3;3;5;5; 
2019;CAS-105123-B1X3M0;1;1;20190102;1;1;20190528;11;3;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO PERMITE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE SELECCIONADO EN PROCESO DE ADMISIÓN;191100022; ;191100022;3147093;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);2553395;1;24243;106196;COLEGIO CRISTIANO SEMBRADORES;11;111;11101;COYHAIQUE;3;3;1;11; 
2019;CAS-105124-Q8Y8X0;1;1;20190102;1;1;20190108;7;1;CONVIVENCIA;SITUACIONES DE CONNOTACIÓN SEXUAL;SITUACIONES DE CONNOTACIÓN SEXUAL DE ADULTO A PÁRVULOS Y/O ESTUDIANTES; ; ; ;7751506;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);9573223;1;2951;101240;ESCUELA LA FLORIDA;7;71;7101;TALCA;2;1;2;7; 
2019;CAS-105125-T7R3Q4;1;1;20190102;1;1;20190401;2;1;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO ASEGURA CONTINUIDAD EDUCATIVA DEL PÁRVULO Y/O ESTUDIANTE POR REDUCCIÓN DE CURSOS O FALTA DE CUPOS; ; ; ;15239009;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);677749;1;12800;104195;COLEGIO BAUTISTA LOIS HART;2;21;2101;ANTOFAGASTA;3;3;5;2; 
2019;CAS-105126-Y6W0H6;1;1;20190102;1;1;20190322;10;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR APARIENCIA PERSONAL Y/O FÍSICA; ; ; ;4983769;1;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);4983769;2;7699;102624;COLEGIO SALESIANO PADRE JOSE FERNANDEZ PEREZ;10;101;10101;PUERTO MONTT;3;3;5;10; 
