AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;RBD;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION
2015;CAS-30780-M4N0B7;2;1;20150102;1;1;20150305;13;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;11525219;0;2;PADRE/MADRE/TUTOR;5123814;0;24482;LICEO POLITECNICO PARTICULAR ANDES;13;131;13128;RENCA;3;3;7;13
2015;CAS-30783-J4G9C4;1;1;20150102;1;1;20150203;15;2;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;8961795;1;2;DOCENTE;8961795;0;12570;COLEGIO ALTA CORDILLERA;15;151;15101;ARICA;3;3;2;15
2015;CAS-30785-J9B3V1;1;1;20150102;1;1;20150106;9;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR OTRAS CAUSALES;9927162;0;2;APODERADO/A;20143309;0;20259;ESCUELA SAN MIGUEL DE IMPERIALITO;9;91;9102;CARAHUE;3;3;2;9
2015;CAS-30786-J7J7C1;1;1;20150102;1;1;20150115;9;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO);9927162;0;2;APODERADO/A;1337047;0;20259;ESCUELA SAN MIGUEL DE IMPERIALITO;9;91;9102;CARAHUE;3;3;2;9
2015;CAS-30787-G3K2M5;1;1;20150102;1;1;20150226;13;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO);14829645;0;1;APODERADO/A;22504897;0;24498;COLEGIO SAN JOAQUIN;13;131;13128;RENCA;3;3;5;13
2015;CAS-30788-C4X3P6;1;1;20150102;1;1;20150109;9;1;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO INFORMA O NO PUBLICA EL PROCEDIMIENTO DE SELECCIÓN, LOS RESULTADOS O EL REGISTRO PÚBLICO DE PÁRVULOS Y/O ESTUDIANTES ADMITIDOS (MEDIOS ELECTRÓNICOS, FOLLETOS O MURALES PÚBLICOS);2020493;0;2;APODERADO/A;4013490;0;20025;ESCUELA ARTISTICA ARMANDO DUFEY BLANC;9;91;9101;TEMUCO;2;1;5;9
2015;CAS-30799-H4V1P6;2;1;20150102;1;1;20150327;9;2;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;23478094;1;2;DOCENTE;23478094;0;16942;COLEGIO CRISTO REY;9;91;9117;TEODORO SCHMIDT;3;3;7;9
2015;CAS-30800-H6F1X9;2;1;20150102;1;1;20150121;4;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;11831779;1;2;PADRE/MADRE/TUTOR;11831779;0;768;COLEGIO LA PROVIDENCIA;4;43;4301;OVALLE;3;3;7;4
2015;CAS-30801-W6B4G4;2;1;20150102;1;1;20150703;13;3;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;1396340;1;2;APODERADO/A;1396340;0;12085;COLEGIO CRISTIANO EMMANUEL;13;131;13110;LA FLORIDA;3;3;2;13
2015;CAS-30802-K5X7Y8;2;1;20150102;1;1;20150130;6;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;19820985;0;2;ESTUDIANTE;8179771;0;2579;INSTITUTO REGIONAL FEDERICO ERRAZURIZ;6;63;6310;SANTA CRUZ;3;3;5;6
