AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;FIS_ID;FIS_ID_SEGUIMIENTO;PA_ID;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;AFEC_TIPO;RBD;RSIE;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION;DEN_CIBERBULLYING
2021;CAS-01754-Q4N6N7;2;1;20211028;10;4;20211122;4;1;ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019;RESPECTO DE LAS MEDIDAS PARA ATENDER PÁRVULOS Y ESTUDIANTES, PRESENCIAL O A DISTANCIA, EN EMERGENCIA SANITARIA;IRREGULARIDADES EN LA ENTREGA DEL SERVICIO EDUCATIVO A PÁRVULOS Y/O ESTUDIANTES MEDIANTE MODALIDAD REMOTA DURANTE LA EMERGENCIA SANITARIA; ; ; ;9646532;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);8071739;1;ESTUDIANTE;621;100252;ESCUELA BASICA MARIO MUNOZ SILVA;4;41;4102;COQUIMBO;6;2;2;4; 
2021;CAS-01758-Z3J0Z4;1;1;20211028;10;4;20230217;2;3;SEGURIDAD E HIGIENE;PROCEDIMIENTOS O MEDIDAS DE HIGIENE, SALUD Y SALUBRIDAD;IRREGULARIDADES EN EL PROCEDIMIENTO DE HIGIENE Y DESINFECCIÓN DEL ESTABLECIMIENTO (SANITACIÓN, DESINFECCIÓN, MANIPULACIÓN DE RESIDUOS, CONTROL DE VECTORES Y PLAGAS, VENTILACIÓN, OTRAS);220200024;220200056;220200056; ;0;0;OTRO TIPO DE CIUDADANO(A); ;0;SIN INFORMACIÓN;317;100115;ESCUELA LAS ROCAS;2;21;2101;ANTOFAGASTA;1;1;0;2; 
2021;CAS-01759-R3T4J4;1;1;20211028;10;4;20221003;2;3;INFRAESTRUCTURA;LOCAL O INFRAESTRUCTURA DEL ESTABLECIMIENTO EDUCACIONAL;FALTA O DEFICIENCIAS EN LA INFRAESTRUCTURA DEL ESTABLECIMIENTO;220200025;220200049;220200049; ;0;0;OTRO TIPO DE CIUDADANO(A); ;0;SIN INFORMACIÓN;201;100069;ESCUELA CARLOS CONDELL DE LA HAZA;2;23;2301;TOCOPILLA;2;1;0;2; 
2021;CAS-01761-M2V1R8;2;1;20211028;10;4;20220301;13;3;INFRAESTRUCTURA;LOCAL O INFRAESTRUCTURA DEL ESTABLECIMIENTO EDUCACIONAL;CAMBIO DE UBICACIÓN O CIERRE DEL ESTABLECIMIENTO;211304983; ;211304983;13213844;1;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);13213844;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);25725; ;ESCUELA PART. NAHUEL;13;134;13404;PAINE;3;3;2;13; 
2021;CAS-01762-P2D6J9;1;1;20211028;10;4;20211122;14;2;SEGURIDAD E HIGIENE;PROCEDIMIENTOS O MEDIDAS DE HIGIENE, SALUD Y SALUBRIDAD;IRREGULARIDADES EN EL PROCEDIMIENTO DE HIGIENE Y DESINFECCIÓN DEL ESTABLECIMIENTO (SANITACIÓN, DESINFECCIÓN, MANIPULACIÓN DE RESIDUOS, CONTROL DE VECTORES Y PLAGAS, VENTILACIÓN, OTRAS);211400797; ; ; ;1;0;AUTORIDAD PÚBLICA; ;0;AUTORIDAD PÚBLICA;6754; ;LICEO ARMANDO ROBLES RIVERA;14;141;14101;VALDIVIA;2;1;0;14; 
2021;CAS-01763-R4P1Y6;1;1;20211028;10;4;20211122;14;2;SEGURIDAD E HIGIENE;PROCEDIMIENTOS O MEDIDAS DE HIGIENE, SALUD Y SALUBRIDAD;IRREGULARIDADES EN EL PROCEDIMIENTO DE HIGIENE Y DESINFECCIÓN DEL ESTABLECIMIENTO (SANITACIÓN, DESINFECCIÓN, MANIPULACIÓN DE RESIDUOS, CONTROL DE VECTORES Y PLAGAS, VENTILACIÓN, OTRAS);211400793; ; ; ;1;0;AUTORIDAD PÚBLICA; ;0;SIN INFORMACIÓN;6751; ;INSTITUTO COMERCIAL DE VALDIVIA;14;141;14101;VALDIVIA;2;1;0;14; 
2021;CAS-01764-F2L6Q8;2;1;20211028;10;4;20211206;13;1;ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019;RESPECTO DE LAS MEDIDAS PARA ATENDER PÁRVULOS Y ESTUDIANTES, PRESENCIAL O A DISTANCIA, EN EMERGENCIA SANITARIA;PROBLEMAS EN LA APERTURA DE ESTABLECIMIENTOS EDUCACIONALES Y ENTREGA PRESENCIAL DEL SERVICIO EDUCATIVO A PÁRVULOS Y/O ESTUDIANTES DURANTE LA EMERGENCIA SANITARIA; ; ; ;116560;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);25935465;2;ESTUDIANTE; ;111385;RELMUTRAYEN;13;131;13120;ÑUÑOA;8;6;1;13; 
2021;CAS-01767-W6C7B0;1;1;20211028;10;4;20220127;5;3;GESTIÓN TÉCNICO-PEDAGÓGICA;JORNADA EDUCATIVA (HORAS DE CLASES O ACTIVIDADES Y HORAS NO LECTIVAS);INCUMPLIMIENTO DE HORAS DE CLASES O ACTIVIDADES;210501825; ;210501825;16614176;0;1;OTRO TIPO DE CIUDADANO(A);6752657;2;DOCENTE; ;111375;EL TRANQUE;13;131;13119;MAIPÚ;8;6;1;13; 
2021;CAS-01768-X8B2R3;2;1;20211028;10;4;20211108;13;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN A CONSECUENCIA DEL PROCESO DE DESARROLLO INTEGRAL DEL PÁRVULO Y/O ESTUDIANTE; ; ; ;20641887;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);23299293;1;ESTUDIANTE;24671;121707;COLEGIO LA ABADIA;13;131;13113;LA REINA;4;4;2;13; 
2021;CAS-01780-Y0G7W6;4;1;20211029;10;4;20211130;9;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO PERMITIR LA PARTICIPACIÓN DEL PÁRVULO Y/O ESTUDIANTE EN LA CEREMONIA DE GRADUACIÓN/LICENCIATURA; ; ; ;25845909;0;0;AUTORIDAD PÚBLICA;1643049;2;ESTUDIANTE;20044; ;CTRO.EDUC.ADULTOS T.P. EL SEMBRADOR;9;91;9101;TEMUCO;3;3;8;9; 
