AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;FIS_ID;FIS_ID_SEGUIMIENTO;PA_ID;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;RBD;RSIE;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION;DEN_CIBERBULLYING
2020;CAS-121625-H7Z6Y1;2;1;20200101;1;1;20200107;8;1;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO ASEGURA CONTINUIDAD EDUCATIVA DEL PÁRVULO Y/O ESTUDIANTE POR REDUCCIÓN DE CURSOS O FALTA DE CUPOS; ; ; ;9869347;1;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);9869347;2;31119;107354;COLEGIO ALMONDALE VALLE;8;81;8101;CONCEPCIÓN;3;3;2;8; 
2020;CAS-121631-J8Z0K5;2;1;20200101;1;1;20200106;8;1;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO PERMITE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE SELECCIONADO EN PROCESO DE ADMISIÓN; ; ; ;486152;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);3917179;2;16770;105173;COLEGIO ALIWE COLLEGE;8;81;8102;CORONEL;3;3;2;8; 
2020;CAS-121634-X3N9G1;1;1;20200102;1;1;20200207;2;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;23116516;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);14658178;1;365;100139;COLEGIO EAGLE SCHOOL;2;21;2101;ANTOFAGASTA;3;3;2;2; 
2020;CAS-121635-Y0T0P6;1;1;20200102;1;1;20200224;5;1;CONVIVENCIA;MALTRATO A MIEMBROS ADULTOS DE LA COMUNIDAD EDUCATIVA;MALTRATO DE ESTUDIANTE HACIA PERSONAL DEL ESTABLECIMIENTO (DOCENTES, EDUCADORES, OTRO); ; ; ;11461522;0;1;ASISTENTE DE LA EDUCACIÓN;11461522;1;1749;100706;COLEGIO EXCMO. CARDENAL RAUL SILVA HENRIQUEZ;5;51;5109;VIÑA DEL MAR;3;3;0;5; 
2020;CAS-121636-V2F3R3;1;1;20200102;1;1;20200129;10;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;7404489;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);9454719;2;7638;102596;ESCUELA N 3 MELIPULLI;10;101;10101;PUERTO MONTT;2;1;2;10; 
2020;CAS-121637-T2B2D0;1;1;20200102;1;1;20200115;1;1;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO ASEGURA CONTINUIDAD EDUCATIVA DEL PÁRVULO Y/O ESTUDIANTE POR REDUCCIÓN DE CURSOS O FALTA DE CUPOS; ; ; ;697636;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);5353405;1;10901; ;COLEGIO SAN MARTIN;1;11;1101;IQUIQUE;3;3;2;1; 
2020;CAS-121639-N9V1G4;2;1;20200102;1;1;20200113;8;1;CONVIVENCIA;MALTRATO A MIEMBROS ADULTOS DE LA COMUNIDAD EDUCATIVA;MALTRATO DE ESTUDIANTE HACIA PERSONAL DEL ESTABLECIMIENTO (DOCENTES, EDUCADORES, OTRO); ; ; ;13657397;1;2;ASISTENTE DE LA EDUCACIÓN;13657397;2;4531;101755;COLEGIO MARINA DE CHILE;8;81;8101;CONCEPCIÓN;2;1;2;8; 
2020;CAS-121640-T2Z9Z3;1;1;20200102;1;1;20200305;2;1;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO INFORMA O NO PUBLICA EL PROCEDIMIENTO DE SELECCIÓN, LOS RESULTADOS O EL REGISTRO PÚBLICO DE PÁRVULOS Y/O ESTUDIANTES ADMITIDOS (MEDIOS ELECTRÓNICOS, FOLLETOS O MURALES PÚBLICOS); ; ; ;7350962;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);13138429;1;336; ;LICEO EXPERIMENTAL ARTISTICO-APLICACION;2;21;2101;ANTOFAGASTA;3;3;2;2; 
2020;CAS-121641-Z6B3V4;1;1;20200102;1;1;20210203;13;3;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;201301737; ;201301737;8160150;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);2047902;1;9509;103139;COLEGIO SUBERCASEAUX COLLEGE;13;131;13130;SAN MIGUEL;4;4;2;13; 
2020;CAS-121642-H7L8B1;1;1;20200102;1;1;20200131;13;1;CONVIVENCIA;SITUACIONES DE CONNOTACIÓN SEXUAL;SITUACIONES DE CONNOTACIÓN SEXUAL DE ADULTO A PÁRVULOS Y/O ESTUDIANTES; ; ; ;19158526;0;1;DIRECTOR(A)/ENCARGADO(A) REGIONAL SIE;19183888;2;8905;102931;COLEGIO EL CARMEN TERESIANO I;13;131;13132;VITACURA;4;4;5;13; 
2020;CAS-121643-B1R0G6;1;1;20200102;1;1;20200309;8;2;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO PERMITE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE SELECCIONADO EN PROCESO DE ADMISIÓN;200800021; ; ;21672364;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);178022;2;17635; ;COL. TECNICO PROFESIONAL LOS ACACIOS;8;81;8101;CONCEPCIÓN;3;3;2;8; 
2020;CAS-121644-G7J5X2;1;1;20200102;1;1;20201217;5;3;SEGURIDAD E HIGIENE;ACCIDENTES DE PÁRVULOS Y/O ESTUDIANTES EN EL CONTEXTO EDUCATIVO;ACCIDENTES DE PÁRVULOS Y/O ESTUDIANTES OCURRIDOS AL INTERIOR DEL ESTABLECIMIENTO EDUCACIONAL CON OCASIÓN DE SUS ESTUDIOS COMO CONSECUENCIA DE FALTA DE SUPERVISIÓN, O ACOMPAÑAMIENTO DE PERSONAL RESPONSABLE;200500336; ;200500336;8972332;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);25341224;1;40085;107593;ESC.ESPECIAL DE LENGUAJE ANTILLANKA;5;51;5101;VALPARAÍSO;3;3;1;5; 
2020;CAS-121646-L7N2C2;1;1;20200102;1;1;20200206;7;1;CONVIVENCIA;SITUACIONES DE CONNOTACIÓN SEXUAL;SITUACIONES DE CONNOTACIÓN SEXUAL ENTRE PÁRVULOS Y/O ESTUDIANTES; ; ; ;24432721;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);9755065;1;3008; ;COLEGIO ARTISTICO DEL MAULE;7;71;7101;TALCA;3;3;2;7; 
2020;CAS-121647-H5R3Z4;1;1;20200102;1;1;20200227;8;2;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO PERMITE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE SELECCIONADO EN PROCESO DE ADMISIÓN;200800097; ; ;2219748;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);20013666;1;17605;105326;COLEGIO INGLÉS WOODLAND;8;83;8301;LOS ANGELES;3;3;2;8; 
2020;CAS-121648-S0T8Y4;2;1;20200102;1;1;20200123;13;1;CONVIVENCIA;DERECHOS Y GARANTÍAS CONSTITUCIONALES;VULNERACIÓN DE LAS GARANTÍAS CONSTITUCIONALES DE LIBERTAD DE ENSEÑANZA, LIBERTAD DE EXPRESIÓN Y DE CONCIENCIA; ; ; ;20809236;1;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);20809236;2;25695;106748;COLEGIO DE LA INMACULADA CONCEPCIÓN;13;134;13401;SAN BERNARDO;3;3;0;13; 
2020;CAS-121650-M4G2M4;1;1;20200102;1;1;20200128;13;1;SEGURIDAD E HIGIENE;ACCIDENTES DE PÁRVULOS Y/O ESTUDIANTES EN EL CONTEXTO EDUCATIVO;ACCIDENTES DE PÁRVULOS Y/O ESTUDIANTES, OCURRIDOS AL INTERIOR DEL ESTABLECIMIENTO EDUCACIONAL, CAUSADOS POR INFRAESTRUCTURA, MOBILIARIO, EQUIPAMIENTO Y/O MATERIAL DIDÁCTICO INSUFICIENTES, INADECUADOS, INSEGUROS Y/O INSALUBRES; ; ; ;19254508;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);3467446;1;10606;103660;COLEGIO GETSEMANI;13;134;13401;SAN BERNARDO;3;3;5;13; 
2020;CAS-121651-L6F3Y3;1;1;20200102;1;1;20200117;13;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;3289040;0;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);16424620;2;25991;106904;ESCUELA BAS. AMANKAY DE LAMPA;13;133;13302;LAMPA;3;3;2;13; 
2020;CAS-121652-C9J9M4;1;1;20200102;1;1;20210105;13;3;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;CONDICIONALIDAD DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;201300987; ;201300987;15691121;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);4751738;1;25999;106908;COLEGIO ALICANTE DEL SOL;13;132;13201;PUENTE ALTO;3;3;2;13; 
2020;CAS-121653-R4S0Z8;1;1;20200102;1;1;20200313;4;3;INFRAESTRUCTURA;LOCAL O INFRAESTRUCTURA DEL ESTABLECIMIENTO EDUCACIONAL;CAMBIO DE UBICACIÓN O CIERRE DEL ESTABLECIMIENTO;200400047; ;200400047;25846131;1;1;DIRECTOR(A)/ENCARGADO(A) REGIONAL SIE;25846131;0;13426; ;COLEGIO SAN LUCAS;4;41;4101;LA SERENA;3;3;0;4; 
